sexo;IdadeAtual;Servidor;Tempo;NaturalidadeCidade
F;51,00;EBTT;26,00;VICOSA
F;52,00;EBTT;25,00;JEQUERI
F;53,00;EBTT;28,00;MOGI DAS CRUZES
F;54,00;EBTT;31,00;GUARACIABA
F;55,00;EBTT;27,00;RIO VERMELHO
F;55,00;EBTT;26,00;BELO HORIZONTE
F;56,00;D;30,00;SAO PAULO
F;56,00;TA;30,00;BELO HORIZONTE
F;56,00;TA;37,00;RIO DE JANEIRO
F;56,00;TA;34,00;BELO HORIZONTE
F;56,00;TA;31,00;UBA
F;56,00;TA;30,00;VICOSA
F;56,00;TA;30,00;ARAPONGA
F;56,00;D;32,00;SALVADOR
F;56,00;TA;30,00;VICOSA
F;56,00;TA;32,00;JUIZ DE FORA
F;56,00;TA;32,00;TEIXEIRAS
F;56,00;D;30,00;VICOSA
F;56,00;D;36,00;INDEPENDENCIA
F;56,00;TA;35,00;ERVALIA
F;56,00;TA;33,00;CAJURI
F;56,00;TA;30,00;SANTA RITA DE CARATI
F;56,00;D;32,00;SAO PAULO
F;56,00;TA;33,00;CANAA
F;56,00;TA;32,00;TEIXEIRAS
F;56,00;TA;32,00;PONTE NOVA
F;56,00;TA;33,00;VICOSA
F;56,00;TA;37,00;VICOSA
F;56,00;TA;33,00;SAO PEDRO DOS FERROS
M;56,00;EBTT;34,00;VICOSA
F;56,00;TA;41,00;PORTO FIRME
F;56,00;D;34,00;VIÃ‡OSA
F;56,00;D;30,00;VICOSA
F;56,00;TA;34,00;SAO VICENTE DO GRAMA
M;56,00;EBTT;33,00;TEOFILO OTONI
F;56,00;TA;31,00;VICOSA
F;56,00;TA;36,00;TEIXEIRAS
F;56,00;TA;38,00;VICOSA
F;56,00;TA;35,00;RAUL SOARES
F;56,00;TA;41,00;TEIXEIRAS
F;56,00;TA;33,00;VICOSA
F;56,00;D;30,00;ERVALIA
F;56,00;D;32,00;SAO PAULO
F;56,00;D;30,00;JUIZ DE FORA
M;56,00;EBTT;30,00;TEIXEIRAS
F;56,00;TA;33,00;ALVINOPOLIS
F;56,00;TA;30,00;VICOSA
F;56,00;TA;30,00;CAPINOPOLIS
F;56,00;D;37,00;RECREIO
F;56,00;TA;42,00;FLORESTAL
F;56,00;TA;31,00;FLORESTAL
F;56,00;TA;32,00;SETE LAGOAS
M;56,00;EBTT;31,00;ERVALIA
F;56,00;TA;30,00;VICOSA
F;57,00;TA;30,00;VICOSA
F;57,00;D;32,00;PRIMEIRO DE MAIO
F;57,00;D;34,00;CAPARAO
F;57,00;TA;34,00;RIO DE JANEIRO
F;57,00;EBTT;25,00;RIO DE JANEIRO
F;57,00;TA;30,00;BURI
F;57,00;TA;37,00;VICOSA
F;57,00;EBTT;25,00;VICOSA
F;57,00;TA;32,00;SAO MIGUEL DO ANTA
F;57,00;TA;30,00;SAO MIGUEL DO ANTA
F;57,00;TA;36,00;VICOSA
F;57,00;TA;34,00;OLIVEIRA
F;57,00;TA;33,00;UBA
F;57,00;TA;36,00;BRÃ?S PIRES
F;57,00;TA;37,00;VICOSA
F;57,00;TA;35,00;VICOSA
F;57,00;D;30,00;VICOSA
F;57,00;TA;37,00;BELO HORIZONTE
F;57,00;D;39,00;TEIXEIRAS
F;57,00;TA;30,00;BELO HORIZONTE
F;57,00;D;35,00;SAO JOSE DO RIO PRETO
F;57,00;TA;32,00;GUARACIABA
F;57,00;TA;31,00;VICOSA
F;57,00;D;33,00;FORMIGA
F;57,00;TA;33,00;FLORESTAL
F;57,00;TA;31,00;VICOSA
F;57,00;D;33,00;SANTA CRUZ DO ESCALVADO
F;57,00;TA;33,00;POCOS DE CALDAS
F;57,00;TA;31,00;RIO DE JANEIRO
F;57,00;TA;30,00;VICOSA
F;57,00;TA;33,00;PORTO FIRME
F;57,00;TA;32,00;BELO HORIZONTE
F;57,00;D;40,00;RIO DE JANEIRO
F;57,00;TA;32,00;VICOSA
F;57,00;TA;32,00;VICOSA
F;57,00;D;34,00;TEIXEIRA SOARES
F;58,00;TA;38,00;PIRANGA
F;58,00;TA;30,00;RIO DE JANEIRO
F;58,00;TA;37,00;CARIOCA
F;58,00;EBTT;36,00;SAO MIGUEL DO ANTA
F;58,00;TA;38,00;VICOSA
F;58,00;TA;32,00;VICOSA
F;58,00;D;35,00;COROMANDEL
F;58,00;TA;31,00;VICOSA
F;58,00;TA;30,00;BELO HORIZONTE
F;58,00;TA;30,00;CAJURI
F;58,00;TA;34,00;VICOSA
F;58,00;TA;38,00;PAULA CANDIDO
F;58,00;TA;40,00;VICOSA
F;58,00;D;34,00;COLATINA
F;58,00;D;31,00;LAVRAS
F;58,00;TA;35,00;RIO DE JANEIRO
F;58,00;TA;35,00;VICOSA
F;58,00;D;40,00;VI COSA
F;58,00;TA;31,00;RIO CASCA
F;58,00;TA;38,00;VICOSA
F;58,00;TA;31,00;VICOSA
F;58,00;TA;39,00;VICOSA
F;58,00;TA;34,00;VICOSA
F;58,00;TA;31,00;PORTO FIRME
F;58,00;TA;36,00;CONCEICAO DE IPANEMA
F;58,00;TA;34,00;ARCOS
F;58,00;TA;32,00;CANAA
F;58,00;TA;36,00;CAJURI
F;58,00;TA;30,00;SANTA TEREZA
F;58,00;D;32,00;CAMPO BELO
F;58,00;TA;33,00;VICOSA
F;58,00;TA;30,00;VICOSA
F;58,00;TA;30,00;VISCONDE DO RIO BRANCO
F;58,00;TA;33,00;RIO DE JANEIRO
F;58,00;D;35,00;TRES RIOS
M;58,00;EBTT;32,00;BAMBUI
M;58,00;EBTT;31,00;CORACAO DE JESUS
M;58,00;EBTT;31,00;VICOSA
M;59,00;EBTT;30,00;VICOSA
M;59,00;EBTT;30,00;PAULA CANDIDO
F;59,00;TA;33,00;VICOSA
F;59,00;D;34,00;RECREIO
F;59,00;TA;39,00;PORTO FIRME
F;59,00;TA;30,00;CAJURI
F;59,00;TA;35,00;VICOSA
F;59,00;D;35,00;BELO HORIZONTE
F;59,00;TA;35,00;VICOSA
F;59,00;TA;32,00;VICOSA
F;59,00;D;35,00;LEOPOLDINA
F;59,00;TA;32,00;VICOSA
F;59,00;TA;36,00;SANTO AMARO
F;59,00;TA;39,00;DIOGO DE VASCONCELOS
F;59,00;TA;30,00;VICOSA
F;59,00;TA;32,00;VICOSA
F;59,00;TA;36,00;PONTE NOVA
F;59,00;D;30,00;VICOSA
F;59,00;D;39,00;VICOSA
F;59,00;TA;38,00;VICOSA
F;59,00;TA;30,00;ALEGRE
F;59,00;TA;30,00;VICOSA
F;59,00;TA;31,00;RIO POMBA
F;59,00;TA;41,00;VICOSA
F;59,00;TA;30,00;TIMOTEO
F;59,00;TA;30,00;VICOSA
F;59,00;D;33,00;VICOSA
F;59,00;TA;31,00;COROMANDEL
F;59,00;TA;32,00;SAO PAULO
F;59,00;TA;36,00;ITAOCARA
F;59,00;TA;32,00;CAJURI
F;59,00;D;31,00;RIO DE JANEIRO
F;59,00;EBTT;31,00;IPATINGA
F;59,00;TA;30,00;SAO PAULO
M;60,00;D;36,00;VOLTA REDONDA
M;60,00;D;37,00;XAMBRE
M;60,00;TA;36,00;LARANJAL
M;60,00;D;38,00;JUIZ DE FORA
M;60,00;TA;35,00;VICOSA
M;60,00;D;38,00;PONTE NOVA
M;60,00;D;37,00;MACAE
F;60,00;TA;32,00;VICOSA
M;60,00;TA;36,00;CAJURI
M;60,00;D;54,00;CONTAGEM
F;60,00;D;30,00;BELO HORIZONTE
F;60,00;TA;31,00;VICOSA
M;60,00;D;36,00;NITEROI
F;60,00;TA;30,00;MIRAI
F;60,00;TA;35,00;BELO HORIZONTE
M;60,00;TA;38,00;PEDRA DO ANTA
M;60,00;TA;36,00;VICOSA
M;60,00;TA;37,00;VICOSA
M;60,00;TA;37,00;TEIXEIRAS
M;60,00;TA;36,00;SAO MIGUEL DO ANTA
M;60,00;TA;35,00;MUTUM
M;60,00;TA;40,00;PORTO FIRME
M;60,00;TA;41,00;SENADOR FIRMINO
M;60,00;TA;36,00;VICOSA
M;60,00;TA;37,00;AMPARO DO SERRA
M;60,00;D;35,00;BAURU
M;60,00;TA;38,00;FLORESTAL
M;60,00;TA;38,00;FLORESTAL
M;60,00;TA;36,00;PIEDADE DAS GERAIS
F;60,00;D;36,00;BALSAMO
M;60,00;EBTT;37,00;ALEGRE
M;60,00;TA;39,00;RIO CASCA
M;60,00;TA;38,00;VICOSA
M;60,00;D;37,00;PERDOES
M;60,00;TA;35,00;SAO MIGUEL DO ANTA
M;60,00;TA;36,00;VIÃ‡OSA
M;60,00;TA;35,00;PARA DE MINAS
M;60,00;TA;35,00;VICOSA
M;60,00;D;36,00;RIO DE JANEIRO
M;60,00;TA;35,00;ARAPONGA
M;60,00;D;38,00;VALPARAISO
M;60,00;D;39,00;PARAGUACU PAULISTA
M;60,00;TA;36,00;SILVA JARDIM
M;60,00;TA;36,00;VICOSA
M;60,00;TA;36,00;VICOSA
F;60,00;D;40,00;JEQUERI
M;60,00;TA;37,00;TEIXEIRAS
M;60,00;TA;37,00;PRESIDENTE BERNARDES
M;60,00;TA;35,00;CAJURI
M;60,00;TA;35,00;CAJURI
M;60,00;TA;36,00;VICOSA
M;60,00;TA;36,00;VICOSA
M;60,00;TA;41,00;PRESIDENTE BERNARDES
M;60,00;TA;38,00;RIO DE JANEIRO
M;60,00;TA;37,00;VICOSA
M;60,00;TA;35,00;VICOSA
M;60,00;TA;36,00;VICOSA
M;60,00;TA;43,00;CAJURI
M;60,00;TA;37,00;TEIXEIRAS
M;60,00;TA;35,00;TEIXEIRAS
M;60,00;TA;35,00;VICOSA
M;60,00;TA;37,00;ORATORIOS
M;60,00;D;38,00;RIO DE JANEIRO
M;60,00;TA;40,00;POSSE
F;60,00;D;39,00;VICOSA
F;60,00;TA;30,00;VICOSA
M;60,00;TA;39,00;VICOSA
M;60,00;TA;38,00;VIÃ‡OSA
M;60,00;TA;40,00;CAJURI
M;60,00;TA;39,00;TEIXEIRAS
M;60,00;D;36,00;LAVRAS
M;60,00;TA;40,00;VICOSA
M;60,00;TA;36,00;VIÃ‡OSA
M;60,00;D;37,00;VICOSA
M;60,00;D;39,00;CAJURI
M;60,00;D;39,00;BELO HORIZONTE
M;60,00;TA;40,00;JEGUERI
F;60,00;TA;31,00;VICOSA
M;60,00;TA;38,00;CAJURI
M;60,00;TA;39,00;VICOSA
M;60,00;TA;40,00;CAJURI
M;60,00;TA;37,00;SAO MIGUEL DO ANTA
M;60,00;TA;35,00;SAO MIGUEL DO ANTA
M;60,00;TA;40,00;COIMBRA
M;60,00;TA;37,00;SAO MIGUEL DO ANTA
M;60,00;TA;35,00;COIMBRA
M;60,00;TA;39,00;CAJURI
M;60,00;TA;37,00;VICOSA
M;60,00;TA;36,00;VICOSA
F;60,00;D;34,00;VIRADOURO
M;60,00;TA;39,00;QUEIMADOS
M;60,00;TA;41,00;VICOSA
F;60,00;D;38,00;RIO POMBA
M;60,00;TA;35,00;VICOSA
M;60,00;TA;41,00;VICOSA
M;60,00;TA;41,00;VICOSA
M;60,00;TA;36,00;SAO MIGUEL DO ANTA
M;60,00;TA;37,00;VICOSA
M;60,00;TA;36,00;VICOSA
M;60,00;TA;38,00;SAO MIGUEL DO ANTA
M;60,00;TA;43,00;UBA
M;60,00;TA;43,00;VIÃ‡OSA
M;60,00;TA;37,00;COIMBRA
M;60,00;D;38,00;CATAGUASES
M;60,00;TA;39,00;GUARACIABA
M;60,00;TA;42,00;VICOSA
M;60,00;TA;35,00;PEDRA DO ANTA
M;60,00;TA;39,00;SAO MIGUEL DO ANTA
M;60,00;EBTT;34,00;CANAA
M;60,00;TA;35,00;VICOSA
M;60,00;TA;35,00;PRESIDENTE BERNARDES
M;60,00;TA;39,00;PORTO FIRME
F;60,00;TA;34,00;VICOSA
M;60,00;TA;36,00;VICOSA
M;60,00;D;40,00;SAO RAIMUNDO NONATO
M;60,00;TA;42,00;VICOSA
M;60,00;TA;35,00;VICOSA
M;60,00;TA;38,00;SANTO HIPOLITO
M;60,00;TA;35,00;COIMBRA
M;60,00;TA;37,00;JEQUERI
M;60,00;TA;43,00;CANAÃƒ
M;60,00;TA;41,00;VICOSA
M;60,00;TA;38,00;LIMA DUARTE
M;60,00;TA;36,00;ITANHANDU
M;60,00;TA;39,00;VICOSA
M;60,00;TA;37,00;CAJURI
M;60,00;D;42,00;CANAA
M;60,00;TA;36,00;BOM JESUS DO ITABAPOANA
M;60,00;TA;36,00;SENHORA DE OLIVEIRA
M;60,00;TA;35,00;COIMBRA
M;60,00;TA;37,00;CAJURI
M;60,00;TA;38,00;IPANEMA
M;60,00;D;37,00;MANHUACU
M;60,00;D;39,00;SABARA
F;60,00;TA;36,00;BALSAS
M;60,00;TA;37,00;CANAA
M;60,00;TA;39,00;PRESIDENTE BERNARDES
M;60,00;TA;36,00;DONA EUZEBIA
M;60,00;TA;35,00;RIO PRETO
M;60,00;TA;37,00;TIROS
M;60,00;TA;37,00;VICOSA
M;60,00;TA;36,00;TEIXEIRAS
M;60,00;TA;36,00;UBÃ?
F;60,00;TA;30,00;VICOSA
M;60,00;TA;35,00;BARBACENA
M;60,00;TA;39,00;VICOSA
F;60,00;TA;36,00;RIO POMBA
M;60,00;D;36,00;BELO HORIZONTE
M;60,00;TA;35,00;VICOSA
M;60,00;TA;36,00;SANTA RITA DE CALDAS
M;60,00;TA;40,00;RIBEIRAO DA MATA
M;60,00;TA;36,00;CANAA
M;60,00;TA;37,00;RIO DE JANEIRO
F;60,00;TA;37,00;VICOSA
F;60,00;TA;31,00;VICOSA
M;60,00;TA;37,00;CAJURI
M;60,00;TA;39,00;VIÃ‡OSA
F;60,00;TA;39,00;VICOSA
M;60,00;TA;40,00;VICOSA
M;60,00;TA;36,00;JUIZ DE FORA
M;60,00;TA;39,00;VICOSA
M;60,00;D;36,00;RESENDE
M;60,00;TA;35,00;PEDRA DO ANTA
M;60,00;TA;39,00;VICOSA
M;60,00;D;37,00;CURITIBA
M;60,00;TA;36,00;CAJURI
M;60,00;D;35,00;SALVADOR
M;60,00;D;35,00;CAMBUCI
F;60,00;D;34,00;CARRANCAS
M;60,00;D;39,00;SAO SEBASTIAO DO PARAISO
M;60,00;TA;36,00;VIÃ‡OSA
M;60,00;TA;36,00;VICOSA
M;60,00;TA;36,00;CANAA
M;60,00;TA;36,00;TEIXEIRAS
M;60,00;TA;36,00;ARAPONGA
F;60,00;D;33,00;BASTOS
M;60,00;D;37,00;PORTO ALEGRE
M;60,00;TA;39,00;VICOSA
M;60,00;TA;35,00;VICOSA
M;60,00;TA;39,00;VICOSA
F;60,00;D;36,00;DIVINESIA
M;60,00;TA;39,00;GUARACIABA
M;60,00;TA;36,00;SAO MIGUEL DO ANTA
M;60,00;TA;38,00;VICOSA
F;60,00;TA;36,00;VICOSA
M;60,00;TA;35,00;VICOSA
M;60,00;TA;37,00;VERA CRUZ DE MINAS
M;60,00;TA;35,00;PEDRA DO ANTA
M;60,00;TA;36,00;PARA DE MINAS
M;60,00;EBTT;39,00;OLIVEIRA
M;60,00;TA;42,00;PARA DE MINAS
M;60,00;TA;36,00;FLORESTAL
M;60,00;EBTT;29,00;PONTE NOVA
M;60,00;TA;36,00;FLORESTAL
M;60,00;EBTT;35,00;PARA DE MINAS
M;60,00;TA;38,00;FLORESTAL
M;60,00;TA;39,00;FLORESTAL
M;60,00;TA;38,00;FLORESTAL
M;60,00;TA;37,00;BELO HORIZONTE
M;60,00;TA;43,00;FLORESTAL
M;60,00;TA;43,00;ABAETÃ‰
M;60,00;TA;43,00;CRUCILANDIA
M;60,00;TA;41,00;FLORESTAL
M;60,00;TA;36,00;ESTRELA DO INDAIA
M;60,00;TA;36,00;PAULA CANDIDO
M;60,00;TA;36,00;CAJURI
M;60,00;D;35,00;MANHUACU
M;60,00;TA;39,00;NAO INFORMADO
M;60,00;TA;36,00;IPIACU
M;60,00;TA;36,00;MURIAE
M;60,00;TA;36,00;PORTO FIRME
M;60,00;TA;37,00;VICOSA
M;60,00;TA;38,00;GUARACIABA
M;60,00;TA;35,00;CANAÃƒ
M;60,00;TA;36,00;GUARACIABA
M;60,00;TA;37,00;CAJURI
M;60,00;TA;36,00;CAJURI
M;61,00;TA;37,00;VICOSA
M;61,00;TA;35,00;SAO MIGUEL DO ANTA
M;61,00;TA;36,00;SALVADOR
M;61,00;TA;39,00;SAO MIGUEL DO ANTA
M;61,00;TA;36,00;VICOSA
M;61,00;TA;39,00;SAO MIGUEL DO ANTA
M;61,00;TA;35,00;VICOSA
M;61,00;TA;35,00;CAPINOPOLIS
M;61,00;TA;38,00;CAPINOPOLIS
M;61,00;TA;36,00;FLORESTAL
M;61,00;TA;35,00;FLORESTAL
M;61,00;TA;35,00;FLORESTAL
M;61,00;TA;45,00;FLORESTAL
M;61,00;TA;35,00;FLORESTAL
M;61,00;TA;36,00;FLORESTAL
M;61,00;TA;41,00;RIALMA
M;61,00;EBTT;40,00;LEOPOLDINA
M;61,00;TA;42,00;OLIVEIRA
M;61,00;TA;38,00;VICOSA
M;61,00;TA;38,00;GUARACIABA
M;61,00;TA;38,00;ITAGIMIRIM
M;61,00;TA;40,00;VICOSA
M;61,00;TA;36,00;VICOSA
M;61,00;TA;35,00;MURIAE
M;61,00;TA;37,00;SAO MIGUEL DO ANTA
M;61,00;TA;38,00;LEOPOLDINA
M;61,00;TA;38,00;PONTE NOVA
M;61,00;D;38,00;MAR DE ESPANHA
M;61,00;D;38,00;ARAGUARI
M;61,00;TA;36,00;GUARACIABA
M;61,00;TA;36,00;VICOSA
M;61,00;TA;37,00;CANAA
M;61,00;TA;40,00;BELO VALE
M;61,00;TA;36,00;BRAS PIRES
M;61,00;TA;38,00;CAJURI
M;61,00;TA;39,00;CAJURI
M;61,00;TA;40,00;PEDRA DO ANTA
M;61,00;TA;40,00;CANAA
M;61,00;TA;43,00;VICOSA
M;61,00;D;35,00;CARATINGA
M;61,00;TA;39,00;SAO MIGUEL DO ANTA
M;61,00;TA;37,00;TEIXEIRAS
F;61,00;TA;30,00;VICOSA
M;61,00;TA;40,00;RIO CASCA
M;61,00;D;36,00;VICOSA
F;61,00;D;36,00;APUCARANA
M;61,00;D;36,00;CAXIAS DO SUL
M;61,00;TA;36,00;CANAA
M;61,00;TA;37,00;SAO MIGUEL DO ANTA
F;61,00;D;30,00;RIO CLARO
M;61,00;TA;41,00;CANAA
F;61,00;TA;42,00;VICOSA
M;61,00;D;35,00;VICOSA
M;61,00;D;42,00;VIÃ‡OSA
M;61,00;TA;44,00;UBA
M;61,00;TA;42,00;CORNELIO PROCOPIO
M;61,00;D;35,00;RIO POMBA
M;61,00;TA;35,00;VICOSA
M;61,00;TA;39,00;RAUL SOARES
M;61,00;TA;37,00;BARBACENA
F;61,00;TA;42,00;CONSELHEIRO LAFAIETE
M;61,00;TA;41,00;PAULA CANDIDO
M;61,00;TA;36,00;CAJURI
M;61,00;TA;37,00;ERVALIA
M;61,00;TA;36,00;ALEGRE
M;61,00;D;35,00;PROVIDENCIA
F;61,00;D;39,00;TEIXEIRAS
M;61,00;TA;36,00;VICOSA
M;61,00;TA;41,00;CARATINGA
M;61,00;TA;40,00;VISCONDE DO RIO BRANCO
M;61,00;TA;39,00;VICOSA
M;61,00;TA;43,00;CANAA
M;61,00;D;36,00;VICOSA
M;61,00;TA;37,00;RIO DE JANEIRO
M;61,00;TA;39,00;CAJURI
M;61,00;TA;42,00;PRESIDENTE BERNARDES
M;61,00;TA;39,00;VICOSA
F;61,00;TA;38,00;PORTO FIRME
